screen_size,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,used_price,new_price
14.5,13.0,5.0,64.0,3.0,3020.0,146.0,2020,127,292.52724501159,320.20245763795003
17.3,13.0,16.0,128.0,8.0,4300.0,213.0,2020,325,350.55798329777,374.79650803376
16.69,13.0,8.0,128.0,8.0,4200.0,213.0,2020,162,347.09369848115,399.62527246684
15.32,13.0,8.0,64.0,3.0,5000.0,185.0,2020,293,298.12454713963996,336.00764319889004
16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2020,223,299.74717536927994,343.67176308753994
13.84,8.0,5.0,32.0,2.0,3020.0,144.0,2020,234,263.37259415625,306.88247098798996
15.77,13.0,8.0,64.0,4.0,3400.0,164.0,2020,219,321.17499016068,352.3663616079
15.32,13.0,16.0,128.0,6.0,4000.0,165.0,2020,161,331.81194099363995,359.91730153607995
16.23,13.0,8.0,128.0,6.0,4000.0,176.0,2020,327,324.14962628860997,344.54886141563
15.47,13.0,8.0,64.0,3.0,3020.0,150.0,2020,268,289.7744534687,320.10504325561993
15.32,13.0,8.0,64.0,4.0,5000.0,185.0,2020,344,316.28288340086993,323.94265358611
16.69,13.0,16.0,128.0,8.0,4100.0,206.0,2019,537,365.57689886533,421.99055968153993
15.32,13.0,16.0,64.0,4.0,4000.0,171.5,2019,336,313.58072066446,366.62916438324
14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,230,279.20283429677,304.74694963113
16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,248,299.56603800762997,330.46540100481997
15.9,13.0,32.0,128.0,6.0,3750.0,172.0,2019,395,341.06888979647,374.72294602028
16.74,13.0,16.0,64.0,4.0,4000.0,206.0,2019,421,324.40745828413,352.66878914968
14.5,13.0,5.0,32.0,2.0,3020.0,146.0,2019,532,288.52501262399,325.44600523503
20.32,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,309.41799467238,360.19472033752993
20.32,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,302.3445252005,372.44437550809994
15.29,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,309.72394416258,352.84207713397996
12.88,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,312.08887833443,366.5584935701
15.29,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,300.60510053124995,339.96368422314
15.24,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,354.04656359598994,410.17429180196
15.29,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,314.87618180722995,382.43019480291997
15.37,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,333.13229964016,374.88902848194
15.37,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,327.35627346813,366.4446512834
15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,310.88530845369,377.44542729286997
15.32,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,330.91375674637,372.07691151006
20.32,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,283.22094363491,312.26690426360994
15.37,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,319.81807766636996,391.54605290692
16.71,10.5,16.0,256.0,8.0,4200.0,226.0,2020,120,417.88118589067,491.95500553042996
16.23,10.5,8.0,64.0,4.0,4000.0,176.0,2020,161,315.40058595109,344.17801217199997
16.23,10.5,8.0,64.0,4.0,4000.0,176.0,2020,93,293.51679394674994,336.3874190762
16.74,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,343.99396833026,385.21468035027
15.34,13.0,16.0,128.0,8.0,4200.0,183.0,2019,223,334.88971787882997,382.61246449591
15.9,13.0,32.0,64.0,6.0,4000.0,178.0,2019,206,339.3147848867,359.55359119538
15.32,13.0,16.0,64.0,6.0,4000.0,163.0,2019,488,308.13663592394,360.38016095214994
16.23,13.0,8.0,64.0,4.0,4000.0,176.0,2019,516,319.53603860807,340.29487572452
16.59,13.0,16.0,512.0,12.0,4500.0,198.0,2019,289,385.33369995954996,505.11505462299
16.81,13.0,16.0,128.0,6.0,4200.0,196.0,2019,477,365.38637281036,439.87104088748
16.81,13.0,16.0,128.0,6.0,4200.0,196.0,2019,195,340.55686754708995,428.76534922498996
15.9,13.0,32.0,128.0,6.0,4000.0,178.0,2019,244,349.29337237771,385.06970832329995
16.74,13.0,16.0,128.0,4.0,4000.0,163.5,2019,376,328.63640399631,356.54664505138
20.42,13.0,8.0,128.0,6.0,6100.0,340.0,2019,406,359.53313840113,397.74429653314
20.42,13.0,8.0,64.0,4.0,6100.0,320.0,2019,462,339.63086960485,377.32747563624997
16.23,13.0,32.0,128.0,8.0,3500.0,171.0,2019,333,368.62937621957,405.10005279899997
16.23,13.0,32.0,128.0,8.0,3500.0,171.0,2019,284,365.25801326714,399.68569905647996
15.34,13.0,24.0,128.0,6.0,4000.0,178.0,2019,202,343.54676604006,377.77981844180994
15.34,13.0,16.0,64.0,4.0,4000.0,178.0,2019,445,342.51652258068003,382.86198695592003
16.74,13.0,16.0,64.0,4.0,4000.0,196.8,2019,375,312.89312098095,382.88374640647993
10.16,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,243.07322163497,319.3884214866
17.78,3.15,0.3,8.0,1.0,4100.0,350.0,2013,819,270.43765738878,340.67398486145
12.7,5.0,0.3,8.0,0.5,3000.0,147.6,2016,819,237.38606405087,279.31401634504
15.47,8.0,5.0,16.0,2.0,4000.0,172.0,2019,267,267.60685647442,311.77964940242
20.32,13.0,5.0,16.0,2.0,5100.0,305.0,2019,461,324.56739441542,344.04109685161
20.32,5.0,2.0,16.0,2.0,5000.0,305.0,2019,423,303.13134893202,335.34396705391
17.78,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,264.58393742305,312.84567647437
16.23,8.0,16.0,64.0,6.0,4000.0,159.0,2019,254,300.40995666418996,375.20103438967
16.23,8.0,32.0,128.0,6.0,4000.0,185.0,2019,370,362.83040407346,406.93466365557
15.32,8.0,16.0,64.0,4.0,4050.0,164.0,2019,482,317.60416861143,343.79223196413
16.59,5.0,16.0,64.0,4.0,4000.0,196.5,2020,273,331.33851933153994,380.39727540537996
15.44,5.0,13.0,64.0,3.0,4000.0,219.0,2020,349,295.41861152736,359.88678400445997
15.44,5.0,10.0,128.0,8.0,5000.0,218.0,2020,352,321.51599166901997,459.63119918046
15.44,5.0,10.0,128.0,8.0,5000.0,213.0,2020,142,371.90663981632,444.86445992779994
15.37,5.0,13.0,32.0,3.0,4000.0,196.5,2020,92,314.89592018828,372.24393011107003
14.5,8.0,8.0,32.0,3.0,3450.0,170.0,2020,166,287.31142791973,330.76810521193994
15.34,8.0,32.0,256.0,8.0,4000.0,192.0,2019,383,371.31017066702,475.58558328303997
15.34,8.0,16.0,64.0,4.0,4000.0,198.0,2019,443,318.96842197301,391.58434321340997
13.84,8.0,5.0,16.0,2.0,3000.0,148.0,2019,257,288.97939116762,335.77101433521
13.84,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,277.70653747819995,312.81855050397
15.27,8.0,13.0,32.0,2.0,3500.0,186.0,2019,255,315.3417922574,345.13298248962997
15.37,8.0,13.0,32.0,3.0,4000.0,194.0,2019,512,309.03181630817994,360.21497483458
15.8,8.0,16.0,64.0,4.0,4050.0,172.0,2019,223,303.00606815656,356.39328077452
15.9,8.0,16.0,32.0,3.0,4000.0,175.0,2019,200,311.18473267571994,330.35546768563
15.72,8.0,8.0,32.0,3.0,4000.0,164.0,2019,210,297.03796398233,318.81335498872
15.29,13.0,5.0,32.0,3.0,3500.0,179.0,2019,216,306.79358352108,359.95119385515
15.29,16.0,5.0,64.0,4.0,3300.0,172.0,2018,724,331.94001993274003,387.36197478846
12.83,13.0,5.0,16.0,2.0,4500.0,171.0,2018,628,295.99456717086997,352.52530401215995
7.62,2.0,1.3,4.0,0.5,1540.0,140.45,2014,750,205.61214731329,266.60962861601
10.16,2.0,0.3,0.5,0.25,1500.0,146.5,2014,1016,206.68881173972997,266.66318536214
7.75,0.3,0.3,0.5,0.25,1500.0,89.0,2014,956,162.09616102630997,248.87947970915997
10.03,2.0,0.3,0.2,0.25,2000.0,85.0,2013,680,193.98289168946,288.25286683031
10.16,2.0,0.3,16.0,4.0,2000.0,89.0,2013,733,211.10600600920998,278.08088571666997
7.75,0.3,0.3,16.0,4.0,2000.0,89.0,2013,1029,203.03149138990997,263.77878077583995
16.56,0.3,8.0,64.0,3.0,4000.0,200.0,2020,310,284.27205801041,339.88177172442
13.84,0.3,5.0,16.0,2.0,3000.0,180.0,2020,193,245.58352795950998,278.44192997868
13.84,0.3,5.0,16.0,2.0,3000.0,180.0,2020,356,275.40428314979,311.84160790583996
17.3,0.3,24.0,64.0,6.0,4500.0,220.0,2020,284,360.87666467996996,422.18598422063
15.34,8.0,32.0,128.0,8.0,4025.0,181.0,2019,397,330.61170257377,413.43770617286
15.37,8.0,8.0,128.0,4.0,4230.0,180.0,2019,411,310.3739407888,340.6289635874
15.34,8.0,25.0,128.0,6.0,3600.0,169.5,2019,276,335.21727836832997,382.50802305841995
15.34,8.0,32.0,128.0,4.0,4035.0,186.0,2019,205,335.59663768569993,393.92330765052
16.59,8.0,16.0,128.0,6.0,4020.0,190.0,2019,321,316.23774980368,377.32747563624997
15.39,8.0,16.0,256.0,8.0,4065.0,215.0,2019,392,359.62512738565,460.48620502735
15.27,8.0,5.0,32.0,2.0,4000.0,170.0,2019,296,293.50778072782,312.77105384250996
15.29,13.0,8.0,32.0,3.0,4230.0,168.0,2018,664,302.72333852147,369.24384314870997
10.29,8.0,5.0,8.0,1.0,2000.0,135.0,2015,1076,273.3131088565,340.22695438355004
16.43,8.0,20.0,128.0,6.0,4000.0,171.0,2019,317,378.2731638792599,462.01624299733
20.32,5.0,2.0,16.0,1.5,4200.0,313.0,2015,909,293.7866353504,363.19640929679
15.34,2.0,8.0,256.0,8.0,3130.0,141.0,2020,135,333.82281402087,441.97811807293
12.93,8.0,8.0,64.0,4.0,3090.0,173.0,2019,523,283.89926654078,363.0217502775
16.59,2.0,16.0,128.0,6.0,4500.0,210.0,2020,234,340.96589749046996,406.46654590028993
16.59,8.0,24.0,128.0,6.0,3820.0,192.0,2019,414,342.01533951430997,394.03006502273996
17.78,2.0,16.0,64.0,4.0,6000.0,220.0,2020,135,297.37087774922,326.3467483311
15.39,2.0,8.0,32.0,2.0,5000.0,206.5,2020,153,277.36442088766,325.36711221864
15.39,2.0,16.0,128.0,6.0,4000.0,203.0,2020,125,334.08119724185997,366.25037150318
12.83,2.0,5.0,16.0,2.0,2700.0,153.0,2020,123,246.47220134337,288.37935586049
12.7,2.0,5.0,32.0,4.0,4000.0,234.0,2020,220,269.92934669254,319.13549755050997
12.7,13.0,5.0,16.0,2.0,4000.0,234.0,2020,173,291.5880002052,297.60040410973
15.42,12.0,16.0,128.0,8.0,5000.0,159.0,2018,413,351.46627207767,387.08986274605
16.36,13.0,32.0,128.0,8.0,4350.0,196.5,2019,279,359.10906292934,410.5468796095
16.21,13.0,16.0,128.0,8.0,4500.0,198.5,2019,212,323.97143751125,393.4242552604
16.59,13.0,16.0,128.0,8.0,5000.0,193.0,2019,188,343.91677836085,369.10777459811
16.21,13.0,32.0,128.0,8.0,4500.0,186.7,2019,264,346.66239202046995,394.00133916064993
16.13,13.0,8.0,64.0,3.0,5000.0,191.5,2019,230,300.00978836462,331.86320156684997
16.21,13.0,16.0,64.0,6.0,4500.0,198.5,2019,259,312.49900543177,377.5605600733
16.13,13.0,8.0,64.0,4.0,5000.0,190.0,2019,349,311.9516170805,335.60633699936
16.13,13.0,16.0,128.0,4.0,5000.0,190.5,2019,500,333.25791473655,356.24314813083
17.5,13.0,16.0,256.0,8.0,4500.0,218.5,2019,288,335.5238483522,447.85726816054
17.5,13.0,16.0,128.0,8.0,4500.0,217.3,2019,391,358.46101572758,438.76752518659
16.28,13.0,12.0,128.0,8.0,4500.0,217.0,2019,204,333.51345123825,422.12633078634
16.28,13.0,12.0,128.0,8.0,4500.0,215.0,2019,293,349.35280870373,408.50420908296996
15.8,8.0,5.0,16.0,2.0,4030.0,163.5,2019,456,269.34004659821,304.61696364341
16.21,13.0,32.0,128.0,6.0,4500.0,179.0,2019,224,353.59784602996,382.73370645994
16.21,13.0,12.0,64.0,6.0,4500.0,198.5,2019,451,321.59948511254,375.09809532510997
16.59,13.0,16.0,64.0,4.0,5000.0,204.1,2019,338,336.56934236028,360.24534527313995
16.23,13.0,16.0,128.0,6.0,3700.0,185.0,2019,455,322.96835160041996,389.54652336235995
15.9,13.0,16.0,64.0,4.0,3260.0,150.0,2019,431,313.37920717895,344.39139136808
16.13,13.0,20.0,128.0,4.0,5000.0,190.5,2019,334,323.37601084835995,369.46511097411997
16.59,13.0,16.0,128.0,6.0,3940.0,189.5,2019,415,347.44900319369,377.68854679062
15.8,13.0,5.0,16.0,2.0,4030.0,163.5,2019,266,297.59191698957,312.92698959943
10.29,5.0,2.0,4.0,0.5,1900.0,130.0,2013,931,229.48775679885998,319.16639245799996
